Year,SA3_CODE21,SA3_NAME21,Age Group,% DTP,% Polio,% HIB,% HEP,% MMR,% Pneumo,% MenC,% Varicella,% Fully
2022,31001,Forest Lake - Oxley,1 Year olds,94.40993789,94.40993789,94.32120674,94.40993789,0,96.18456078,0,0,94.2324756
2022,31002,Ipswich Hinterland,1 Year olds,94.63548831,94.63548831,94.63548831,94.91059147,0,96.42365887,0,0,94.36038514
2022,31003,Ipswich Inner,1 Year olds,93.63474123,93.63474123,93.63474123,93.69422963,0,96.01427722,0,0,93.57525283
2022,31004,Springfield - Redbank,1 Year olds,93.44432882,93.44432882,93.49635796,93.49635796,0,95.36940687,0,0,93.23621228
2022,31101,Beaudesert,1 Year olds,90.90909091,90.90909091,90.90909091,90.90909091,0,92.85714286,0,0,90.90909091
2022,31102,Beenleigh,1 Year olds,92.04204204,92.04204204,92.04204204,92.04204204,0,93.09309309,0,0,91.14114114
2022,31103,Browns Plains,1 Year olds,92.09535759,92.09535759,91.96988708,92.15809285,0,94.66750314,0,0,91.7816813
2022,31104,Jimboomba,1 Year olds,91.75879397,91.75879397,91.75879397,91.75879397,0,94.17085427,0,0,91.75879397
2022,31105,Loganlea - Carbrook,1 Year olds,91.29464286,91.29464286,91.18303571,91.29464286,0,93.52678571,0,0,90.84821429
2022,31106,Springwood - Kingston,1 Year olds,90.97046414,90.97046414,90.88607595,90.97046414,0,93.24894515,0,0,90.63291139
2022,31201,Bowen Basin - North,1 Year olds,92.85714286,92.85714286,92.85714286,93.31797235,0,95.85253456,0,0,92.85714286
2022,31202,Mackay,1 Year olds,93.87222947,93.87222947,93.80704042,94.19817471,0,95.82790091,0,0,93.80704042
2022,31203,Whitsunday,1 Year olds,92.88702929,92.88702929,92.88702929,92.88702929,0,93.30543933,0,0,92.46861925
2022,31301,Bribie - Beachmere,1 Year olds,91.18942731,91.18942731,91.18942731,91.18942731,0,95.59471366,0,0,91.18942731
2022,31302,Caboolture,1 Year olds,93.59095193,93.59095193,93.59095193,93.68520264,0,95.09896324,0,0,93.49670123
2022,31303,Caboolture Hinterland,1 Year olds,91.42857143,91.42857143,91.42857143,91.42857143,0,92.85714286,0,0,91.42857143
2022,31304,Narangba - Burpengary,1 Year olds,91.91011236,91.91011236,91.91011236,91.91011236,0,94.04494382,0,0,91.68539326
2022,31305,Redcliffe,1 Year olds,92.56055363,92.56055363,92.38754325,92.73356401,0,95.15570934,0,0,92.38754325
2022,31401,The Hills District,1 Year olds,95.9285005,95.9285005,95.82919563,95.82919563,0,96.62363456,0,0,95.6305859
2022,31402,North Lakes,1 Year olds,94.60784314,94.60784314,94.60784314,94.60784314,0,96.49859944,0,0,94.3977591
2022,31403,Strathpine,1 Year olds,94.57943925,94.57943925,94.57943925,94.57943925,0,96.63551402,0,0,94.39252336
2022,31501,Far North,1 Year olds,91.24668435,91.24668435,91.24668435,92.5729443,0,95.49071618,0,0,91.24668435
2022,31502,Outback - North,1 Year olds,92.2,92.2,92.2,92.6,0,96.2,0,0,92.2
2022,31503,Outback - South,1 Year olds,95.4954955,95.4954955,95.4954955,95.94594595,0,98.64864865,0,0,95.4954955
2022,31601,Buderim,1 Year olds,91.90647482,91.90647482,91.90647482,91.72661871,0,92.98561151,0,0,91.72661871
2022,31602,Caloundra,1 Year olds,92.76637341,92.76637341,92.76637341,92.76637341,0,94.03714565,0,0,92.76637341
2022,31603,Maroochy,1 Year olds,85.64516129,85.64516129,85.64516129,85.64516129,0,87.90322581,0,0,85.32258065
2022,31605,Noosa,1 Year olds,83.72781065,83.43195266,83.72781065,83.43195266,0,86.98224852,0,0,83.13609467
2022,31606,Sunshine Coast Hinterland,1 Year olds,88.47926267,88.47926267,88.47926267,88.47926267,0,89.86175115,0,0,88.32565284
2022,31701,Toowoomba,1 Year olds,94.49449449,94.49449449,94.49449449,94.39439439,0,95.6956957,0,0,94.29429429
2022,31801,Charters Towers - Ayr - Ingham,1 Year olds,93.71980676,93.71980676,93.71980676,94.20289855,0,94.92753623,0,0,93.23671498
2022,31802,Townsville,1 Year olds,94.38796259,94.38796259,94.42862952,94.75396503,0,97.15331436,0,0,94.1846279
2022,31901,Bundaberg,1 Year olds,94.707828,94.707828,94.707828,94.81808159,0,96.14112459,0,0,94.48732084
2022,31902,Burnett,1 Year olds,93.58717435,93.58717435,93.58717435,93.98797595,0,94.38877756,0,0,92.98597194
2022,31903,Gympie - Cooloola,1 Year olds,86.76748582,86.76748582,86.76748582,86.76748582,0,89.79206049,0,0,86.76748582
2022,31904,Hervey Bay,1 Year olds,95.44554455,95.44554455,95.44554455,95.44554455,0,96.63366337,0,0,95.24752475
2022,31905,Maryborough,1 Year olds,95.33333333,95.33333333,95.33333333,95.33333333,0,96.88888889,0,0,95.33333333
2022,NM,Not mapped,2 Year olds,,,,,,,,,
2022,30101,Capalaba,2 Year olds,95.61611374,97.39336493,96.20853081,97.39336493,95.49763033,96.56398104,96.32701422,95.61611374,95.02369668
2022,30102,Cleveland - Stradbroke,2 Year olds,92.80821918,95.66210046,93.37899543,95.66210046,92.69406393,94.6347032,94.97716895,93.03652968,92.00913242
2022,30103,Wynnum - Manly,2 Year olds,95.69648924,96.94224236,96.03624009,96.94224236,95.69648924,96.48924122,96.82899207,95.80973952,95.01698754
2022,30201,Bald Hills - Everton Park,2 Year olds,96.2633452,98.04270463,97.15302491,97.86476868,96.2633452,97.5088968,97.33096085,96.2633452,95.90747331
2022,30202,Chermside,2 Year olds,95.32163743,97.77777778,96.37426901,97.66081871,95.43859649,96.95906433,97.42690058,95.78947368,94.73684211
2022,30203,Nundah,2 Year olds,95.96928983,98.46449136,96.92898273,98.46449136,95.77735125,97.88867562,98.0806142,95.96928983,95.39347409
2022,30204,Sandgate,2 Year olds,96.0106383,98.2712766,96.94148936,98.2712766,96.0106383,97.20744681,96.94148936,96.54255319,94.94680851
2022,30301,Carindale,2 Year olds,95.55555556,97.46031746,95.87301587,97.46031746,95.23809524,96.66666667,96.50793651,95.23809524,94.6031746
2022,30302,Holland Park - Yeronga,2 Year olds,94.14694894,96.51307597,95.14321295,96.51307597,94.64508095,95.51681196,95.26774595,94.76961395,93.39975093
2022,30303,Mt Gravatt,2 Year olds,93.42251951,96.76700111,94.53734671,96.43255295,93.75696767,96.20958751,95.76365663,94.42586399,92.75362319
2022,30304,Nathan,2 Year olds,97.6344086,98.27956989,97.84946237,98.27956989,97.6344086,97.84946237,97.84946237,97.6344086,97.20430108
2022,30305,Rocklea - Acacia Ridge,2 Year olds,94.68503937,97.53937008,95.66929134,97.53937008,94.48818898,96.55511811,96.25984252,95.17716535,93.6023622
2022,30306,Sunnybank,2 Year olds,94.28571429,96.80672269,94.78991597,96.80672269,94.11764706,96.13445378,96.30252101,94.45378151,93.1092437
2022,30401,Centenary,2 Year olds,96.63608563,96.94189602,96.94189602,96.94189602,96.94189602,96.94189602,96.94189602,96.94189602,95.71865443
2022,30402,Kenmore - Brookfield - Moggill,2 Year olds,93.59504132,96.28099174,94.4214876,96.48760331,93.38842975,94.83471074,95.04132231,93.59504132,91.94214876
2022,30403,Sherwood - Indooroopilly,2 Year olds,94.98806683,97.61336516,96.65871122,97.61336516,95.70405728,97.13603819,95.94272076,95.70405728,94.03341289
2022,30404,The Gap - Enoggera,2 Year olds,96.02649007,97.18543046,96.68874172,97.18543046,96.68874172,97.01986755,97.01986755,96.68874172,95.36423841
2022,30501,Brisbane Inner,2 Year olds,91.80327869,95.90163934,92.62295082,96.10655738,92.41803279,94.26229508,93.44262295,92.62295082,90.77868852
2022,30502,Brisbane Inner - East,2 Year olds,93.44608879,96.82875264,94.29175476,96.82875264,93.86892178,95.98308668,96.40591966,93.86892178,93.2346723
2022,30503,Brisbane Inner - North,2 Year olds,94.24882629,96.36150235,94.83568075,96.36150235,94.36619718,95.5399061,95.89201878,94.71830986,93.30985915
2022,30504,Brisbane Inner - West,2 Year olds,93.84057971,96.55797101,95.10869565,96.19565217,94.38405797,95.65217391,95.83333333,94.74637681,92.93478261
2022,30601,Cairns - North,2 Year olds,93.0420712,95.46925566,93.85113269,95.46925566,92.8802589,95.14563107,94.98381877,92.8802589,92.07119741
2022,30602,Cairns - South,2 Year olds,91.75491679,96.5204236,93.64599092,96.5204236,92.58698941,95.83963691,95.38577912,92.66263238,90.99848714
2022,30603,Innisfail - Cassowary Coast,2 Year olds,92.24137931,96.55172414,93.96551724,97.12643678,93.3908046,95.97701149,96.55172414,93.3908046,91.95402299
2022,30604,Port Douglas - Daintree,2 Year olds,88.7755102,92.85714286,88.7755102,92.85714286,88.7755102,90.81632653,91.83673469,88.7755102,87.75510204
2022,30605,Tablelands (East) - Kuranda,2 Year olds,85.35564854,89.958159,86.19246862,89.958159,85.35564854,89.53974895,89.12133891,85.35564854,84.93723849
2022,30701,Darling Downs (West) - Maranoa,2 Year olds,93.52750809,96.60194175,94.66019417,96.60194175,93.85113269,95.95469256,95.30744337,93.85113269,91.74757282
2022,30702,Darling Downs - East,2 Year olds,93.68836292,95.85798817,94.08284024,96.05522682,94.08284024,95.26627219,95.85798817,94.08284024,93.09664694
2022,30703,Granite Belt,2 Year olds,92.97423888,95.31615925,93.20843091,95.31615925,93.20843091,94.14519906,95.08196721,93.20843091,92.03747073
2022,30801,Central Highlands (Qld),2 Year olds,93.67945824,97.74266366,94.80812641,97.96839729,93.90519187,97.51693002,97.96839729,93.67945824,93.00225734
